,year,month,day,t_min,t_max,rain
2001-01-01,2001,1,1,2.0,8.7,0.0
2001-01-02,2001,1,2,7.2,11.2,0.0
2001-01-03,2001,1,3,5.6,9.3,0.0
2001-01-04,2001,1,4,8.6,11.7,0.0
2001-01-05,2001,1,5,8.6,12.7,0.0
2001-01-06,2001,1,6,4.5,8.9,0.0
2001-01-07,2001,1,7,3.7,8.1,0.0
2001-01-08,2001,1,8,1.5,8.2,0.0
2001-01-09,2001,1,9,1.7,4.7,0.0
2001-01-10,2001,1,10,3.1,11.0,0.0
2001-01-11,2001,1,11,8.5,10.2,0.0
2001-01-12,2001,1,12,2.0,7.9,0.0
2001-01-13,2001,1,13,0.8,3.2,0.0
2001-01-14,2001,1,14,0.2,5.0,0.0
2001-01-15,2001,1,15,-2.0,1.3,0.0
2001-01-16,2001,1,16,0.2,4.4,0.0
2001-01-17,2001,1,17,1.6,4.4,0.0
2001-01-18,2001,1,18,2.6,4.9,0.0
2001-01-19,2001,1,19,2.1,5.3,0.0
2001-01-20,2001,1,20,0.8,3.7,0.0
2001-01-21,2001,1,21,0.6,9.6,0.0
2001-01-22,2001,1,22,7.6,9.6,0.0
2001-01-23,2001,1,23,6.2,12.0,0.0
2001-01-24,2001,1,24,8.0,11.9,0.0
2001-01-25,2001,1,25,5.8,9.8,0.0
2001-01-26,2001,1,26,4.9,8.3,0.0
2001-01-27,2001,1,27,4.4,8.9,0.0
2001-01-28,2001,1,28,3.6,9.0,0.0
2001-01-29,2001,1,29,2.8,5.7,0.0
2001-01-30,2001,1,30,1.3,3.2,0.0
2001-01-31,2001,1,31,1.3,4.9,0.0
2001-02-01,2001,2,1,-0.9,2.6,0.0
2001-02-02,2001,2,2,-1.3,6.4,0.0
2001-02-03,2001,2,3,5.6,10.2,0.0
2001-02-04,2001,2,4,9.9,12.6,0.0
2001-02-05,2001,2,5,9.2,11.2,0.0
2001-02-06,2001,2,6,10.3,13.9,0.0
2001-02-07,2001,2,7,8.7,11.3,0.0
2001-02-08,2001,2,8,6.8,11.4,0.0
2001-02-09,2001,2,9,3.5,6.7,0.0
2001-02-10,2001,2,10,1.7,8.3,0.0
2001-02-11,2001,2,11,8.6,13.4,0.0
2001-02-12,2001,2,12,7.6,14.6,0.0
2001-02-13,2001,2,13,5.0,9.8,0.0
2001-02-14,2001,2,14,2.7,10.3,0.0
2001-02-15,2001,2,15,3.1,10.7,0.0
2001-02-16,2001,2,16,3.1,8.6,0.0
2001-02-17,2001,2,17,5.0,6.2,0.0
2001-02-18,2001,2,18,2.0,7.5,0.0
2001-02-19,2001,2,19,1.0,7.6,0.0
2001-02-20,2001,2,20,4.8,7.7,0.0
2001-02-21,2001,2,21,3.0,8.9,0.0
2001-02-22,2001,2,22,7.6,11.2,0.0
2001-02-23,2001,2,23,2.3,8.7,0.0
2001-02-24,2001,2,24,0.7,5.2,0.0
2001-02-25,2001,2,25,-2.4,4.6,0.0
2001-02-26,2001,2,26,-0.2,6.9,0.0
2001-02-27,2001,2,27,0.7,6.5,0.0
2001-02-28,2001,2,28,1.3,4.9,0.0
2001-03-01,2001,3,1,1.7,5.3,0.0
2001-03-02,2001,3,2,-0.3,4.1,0.0
2001-03-03,2001,3,3,0.7,6.4,0.0
2001-03-04,2001,3,4,2.7,8.0,0.0
2001-03-05,2001,3,5,4.1,8.6,0.0
2001-03-06,2001,3,6,3.7,14.0,0.0
2001-03-07,2001,3,7,10.5,17.7,0.0
2001-03-08,2001,3,8,9.2,13.9,0.0
2001-03-09,2001,3,9,8.9,14.2,0.0
2001-03-10,2001,3,10,9.5,15.3,0.0
2001-03-11,2001,3,11,12.1,15.8,0.0
2001-03-12,2001,3,12,6.4,12.9,0.0
2001-03-13,2001,3,13,5.8,11.4,0.0
2001-03-14,2001,3,14,6.9,11.3,0.0
2001-03-15,2001,3,15,10.5,14.4,0.0
2001-03-16,2001,3,16,8.7,17.4,0.0
2001-03-17,2001,3,17,8.6,16.9,0.0
2001-03-18,2001,3,18,5.9,13.2,0.0
2001-03-19,2001,3,19,4.3,7.0,0.0
2001-03-20,2001,3,20,4.2,9.1,0.0
2001-03-21,2001,3,21,10.2,17.2,0.0
2001-03-22,2001,3,22,11.3,13.6,0.0
2001-03-23,2001,3,23,10.4,17.9,0.0
2001-03-24,2001,3,24,10.4,13.5,0.0
2001-03-25,2001,3,25,4.8,10.7,0.0
2001-03-26,2001,3,26,4.6,7.2,0.0
2001-03-27,2001,3,27,4.9,13.9,0.0
2001-03-28,2001,3,28,6.7,10.7,0.0
2001-03-29,2001,3,29,7.0,12.1,0.0
2001-03-30,2001,3,30,5.8,13.3,0.0
2001-03-31,2001,3,31,5.8,13.9,0.0
2001-04-01,2001,4,1,8.9,18.1,0.0
2001-04-02,2001,4,2,9.9,23.3,0.0
2001-04-03,2001,4,3,10.1,15.9,0.0
2001-04-04,2001,4,4,7.4,12.0,0.0
2001-04-05,2001,4,5,4.9,10.7,0.0
2001-04-06,2001,4,6,9.0,14.2,0.0
2001-04-07,2001,4,7,6.4,11.7,0.0
2001-04-08,2001,4,8,7.7,11.9,0.0
2001-04-09,2001,4,9,7.4,14.2,0.0
2001-04-10,2001,4,10,9.0,11.8,0.0
2001-04-11,2001,4,11,6.9,10.0,0.0
2001-04-12,2001,4,12,4.7,11.2,0.0
2001-04-13,2001,4,13,4.0,9.4,0.0
2001-04-14,2001,4,14,1.4,9.3,0.0
2001-04-15,2001,4,15,7.7,11.4,0.0
2001-04-16,2001,4,16,6.9,11.5,0.0
2001-04-17,2001,4,17,5.9,9.7,0.0
2001-04-18,2001,4,18,4.2,9.0,0.0
2001-04-19,2001,4,19,2.7,8.6,0.0
2001-04-20,2001,4,20,3.4,7.5,0.0
2001-04-21,2001,4,21,3.3,10.3,0.0
2001-04-22,2001,4,22,3.5,12.8,0.0
2001-04-23,2001,4,23,7.3,14.8,0.0
2001-04-24,2001,4,24,7.1,17.4,0.0
2001-04-25,2001,4,25,8.6,14.0,0.0
2001-04-26,2001,4,26,7.2,16.7,0.0
2001-04-27,2001,4,27,9.2,14.8,0.0
2001-04-28,2001,4,28,10.4,13.3,0.0
2001-04-29,2001,4,29,9.1,15.5,0.0
2001-04-30,2001,4,30,9.6,14.5,0.0
2001-05-01,2001,5,1,10.9,16.2,0.0
2001-05-02,2001,5,2,11.5,19.3,0.0
2001-05-03,2001,5,3,11.5,16.4,0.0
2001-05-04,2001,5,4,8.3,11.4,0.0
2001-05-05,2001,5,5,7.0,12.0,0.0
2001-05-06,2001,5,6,5.5,12.4,0.0
2001-05-07,2001,5,7,8.8,14.3,0.0
2001-05-08,2001,5,8,9.5,19.5,0.0
2001-05-09,2001,5,9,12.2,20.3,0.0
2001-05-10,2001,5,10,14.6,21.8,0.0
2001-05-11,2001,5,11,16.4,26.5,0.0
2001-05-12,2001,5,12,15.3,26.9,0.0
2001-05-13,2001,5,13,15.5,26.8,0.0
2001-05-14,2001,5,14,11.2,16.8,0.0
2001-05-15,2001,5,15,10.9,16.9,0.0
2001-05-16,2001,5,16,12.2,19.1,0.0
